site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
WM,macrochirus,species,14.926175813572012,6.0070087414755164,3.8838661275278756,10.6356101759046,14.660269824967923,18.841972029171774,27.41844891244715
WM,megalotis,species,20.397453866329325,7.225318352825698,6.996601428481612,15.415831532466944,20.297275031862352,25.223200797316924,34.808555536611685
WM,pugio,species,18.778015501172803,9.065217043518704,3.61096174629982,12.181104131167691,17.92517064661204,24.624937169888465,38.06818700522147
UN,affinis,species,24.68630581902781,9.836468421932757,6.56955913884599,17.712094748329957,24.522723071450013,31.22047939541841,44.48572244538215
UN,clarkii,species,16.51489370828751,7.635103005837654,3.891368188493373,10.747905630322988,16.0041120472551,21.743146704350902,32.439024319969164
UN,megalotis,species,43.456567169336935,19.677721040482126,9.530263225328435,29.166069887232215,41.59309952074482,56.17113220556944,86.16542922285748
UN,pugio,species,19.239384581152542,9.207419824513993,4.01232563111448,12.562073697262404,18.531401037363658,24.966258817723528,39.60046512712174
TR,affinis,species,72.44240475042565,10.825936022387223,52.09959234236459,64.59140525780565,72.1290568229624,80.1091486638152,93.3501589214925
TR,aureus,species,70.0575815463755,16.096818600827337,34.81363090372129,59.77517743113865,71.43146828512378,82.60278011752045,95.49461462381035
TR,cyanoguttatus,species,53.84893572207786,22.373079974417244,10.709204635952423,37.38785968298462,53.771609413088825,70.84837129291446,93.55338901543487
TR,grandis,species,75.70916717582548,8.924686105517024,59.220437145477014,69.34903760431833,75.36095765485958,82.00943226062205,93.33881814816782
TR,latipinna,species,82.03001619721717,9.183430502268642,62.04510577309603,75.93019503931653,82.88694512311659,88.9599091988117,96.6969081836244
TR,macrochirus,species,68.10865147898465,10.982690756114282,48.01405586736714,60.35734578113268,67.34920538647128,75.35959160524041,91.14656575278569
TR,variegatus,species,88.03532126221151,6.257155299445934,74.24930671863204,83.98969664440345,88.82209787693722,92.90560230791213,97.80278025550906
SF,affinis,species,21.086341854782674,9.42847689905379,4.776020625956484,14.204097948032029,20.683716178288865,27.042020429673595,40.495045769605085
SF,clarkii,species,11.610737902312387,5.862359448040009,2.2898095008622716,7.182401509223527,11.039519122741117,15.492201687887652,24.572614355694412
SF,cyanellus,species,32.54956142841191,7.601547421262341,16.991908601558194,27.702013944029492,32.895581286516915,37.4849816764458,46.82217537029541
SF,cyanoguttatus,species,11.18875619888953,6.036971762603114,1.9119744173890199,6.636303955453052,10.468382848445001,15.002563772175115,24.505540132145516
SF,latipinna,species,14.318380663498493,7.525518528407783,2.328438706673345,8.58451070774023,13.556838298496638,19.238008503247883,31.112309535789223
PL,clarkii,species,32.07349905511257,11.955297331147124,9.885386144173149,24.07773653507083,31.762005398496996,39.63886902304928,56.84534862272136
PL,latipinna,species,51.37586598414501,12.946150121642974,28.135744874759506,42.873167720721284,50.67222590401936,59.37466945280335,79.65430330616068
PL,maculatus,species,39.293947037998564,20.503887994315964,6.024220781675431,23.914121405260914,37.25064467458778,52.46835502591474,84.69333981013023
PL,megalotis,species,43.92536461289463,7.029754303648912,30.29415888569385,39.047989658422736,43.95596911261824,48.455174021256134,57.71292293900262
PL,ohione,species,51.448635411464195,15.217676387386966,22.328818928953652,41.42715517994795,50.96664981668175,61.14617857010105,83.34363965088853
PD,auritus,species,29.7500236896946,9.572752628313784,11.032548287644767,23.363951556435225,29.61820806251221,36.05664607015492,48.944532575379235
PD,clarkii,species,29.231190992879778,11.116193414767912,8.139539633543647,21.640411232334397,28.811216027299867,36.510178075730884,52.18848929750949
PD,cyanellus,species,33.78314162153267,13.819604624772833,9.380924545790394,24.266855839984363,32.95750994250704,42.153966378880405,63.662481094581715
PD,cyanoguttatus,species,28.694465311422324,12.249944304956575,7.450223736695727,20.222656344138105,27.701064455868107,36.44878392324944,54.69232774265637
PD,macrochirus,species,36.047816370538754,18.761124010721495,6.699051935450908,22.46232696964684,33.869068724564535,47.62832723501051,80.28161758776838
PD,notatus,species,41.053272587847104,20.133095630889827,7.397225837771643,25.87628378785493,39.18021399568905,54.372021967514236,83.8904707873039
PD,pugio,species,19.623262493330248,12.526181337581017,2.9010575808152512,10.569494878426163,17.520983049171157,25.58164489699008,50.87662628253249
PD,punctatus,species,29.540363521439005,14.935635057948083,5.310714390722068,18.439989372963904,28.171282882597176,38.67508477879965,62.9528230270806
MR,affinis,species,25.919060878146542,18.366244559796066,3.118575608206497,12.637567504720169,21.327287421559042,34.374818847392994,76.54613231064822
MR,cyanoguttatus,species,24.567733106786065,19.54523319422229,2.68783370733613,10.328911830809961,18.87542583951851,33.03593917436376,79.26957287613008
MR,macrochirus,species,8.304865798973118,5.220793941519048,1.3832666000761198,4.387045150092478,7.291140179712614,11.072850944797679,21.007641343557104
MR,pugio,species,32.74806929895257,26.260547300541088,2.414771596156693,9.75029226855389,24.95632124969584,52.18052931478916,89.20640778468946
LN,beryllina,species,48.325218045334324,20.62859184416104,10.41301875670502,33.380131842172894,47.09229934578881,63.2355241198022,89.40466759451178
LN,dormitor,species,51.095229555448896,19.120615834740214,14.561322739910413,37.72740733714714,50.50302745646357,63.90806747277775,89.48649220323995
LN,grandis,species,65.40378759880568,16.52719939454368,32.39123677701418,54.09234633697033,65.74610821246154,77.83650822225815,94.15892813040739
LN,mitchilli,species,75.16838786126453,12.356077384289046,49.1284323224209,66.91429226709585,75.89177937343918,84.78867877656327,95.35127085400732
LN,pugio,species,56.178334614422766,18.91397176990027,18.33491419196476,43.381664095952885,56.026882041037965,69.94552197511432,91.506724265925925
LN,salmoides,species,44.63617486778044,19.4422780931556,9.38203609664367,30.6093070413743,43.35354859966134,57.23021224736049,85.3467778944351
LN,spatula,species,65.81557275489183,16.346340758901356,31.42284362914242,54.58961817687885,66.48136680762461,77.78405772442089,93.70885966362917
LN,variegatus,species,64.26282037367292,17.13037026723516,27.80035462822698,53.01456558377985,64.89903931067819,77.10258197471164,93.76954117124278
GC,affinis,species,7.414310667440774,4.267963267378135,1.2735326870584838,4.207605170659459,6.692937720392001,9.963965262277759,17.517465416822787
GC,clarkii,species,7.982094971036253,4.8979985573487435,1.3782156307852087,4.206519837701503,7.071629311830227,10.79339227216463,19.98633286717632
GC,gulosus,species,5.889921210424082,3.4854686027325927,1.0164994506267633,3.233160540951131,5.241210535125102,7.85163833306132,14.291947108858707
GC,gyrinus,species,8.704796602072932,5.216638313619007,1.4846636363566943,4.696116995777516,7.770208725693573,11.719300147046505,21.039492254486934
GC,humilis,species,11.315782638384245,6.783902365796701,1.8606169854468058,6.26383672650196,10.142415953036515,15.265926851373585,27.74927912465475
GC,macrochirus,species,6.235094668440837,3.809321600078201,1.0676026238186196,3.341692609435815,5.44690592702885,8.371849549293959,15.59418180983036
GC,megalotis,species,6.31590345578007,3.6274845374986304,1.1812920777540832,3.58232622339507,5.60884747708804,8.386076318439272,15.068688301774493
GC,pugio,species,6.987714025548949,4.208095608977978,1.2268853448856267,3.7539236863378638,6.265509637557355,9.411885662799664,16.91428915983882
EM,clarkii,species,28.347723736274887,11.391350456831216,7.7702176105675385,20.215997092176778,27.714363714625602,35.5222039198816,52.34492500786977
EM,cyanellus,species,33.75216191327344,11.325328158762304,12.183612014468146,26.23680415418454,33.5221687221322,40.89596284267541,56.65089096278903
EM,gulosus,species,27.594421416954606,16.988065595164656,4.133700601130185,15.201341352488992,24.871136011862,36.09032657122031,70.61486038539488
EM,gyrinus,species,29.721805149774156,11.111646095769558,9.872405389529586,21.916827226969314,29.31464532550237,36.97274959422525,52.986984382760724
EM,macrochirus,species,22.842727444875937,10.742698271312463,5.1075667739775605,15.151187775959107,21.754440775157562,29.509678920719544,46.256649152008
EM,megalotis,species,32.28877387995141,11.563611621015069,10.852421282667818,24.494469851688162,32.02686087431881,39.74782068207744,55.85437845260913
EM,pugio,species,18.07577668679121,10.539620237857342,3.1237305490645966,10.16859928678408,16.33936941097931,24.18066304985383,43.029680126284994
AR,auritus,species,17.19941308230608,7.641527093575096,4.076864490123579,11.659340681618032,16.75211069335909,22.22911218123554,33.34975354256992
AR,clarkii,species,28.322070303130996,16.843155218827814,4.2230049759907935,16.047962382317905,25.82211622197206,36.9516087571283,72.3229908449898
AR,cyanellus,species,23.569380904222655,8.718312728927227,7.264667767950457,17.506387945771827,23.516126603336232,29.388708241254225,41.429723290215456
AR,cyanoguttatus,species,16.466285797151812,8.07320673837312,3.188401946858531,10.36936154492831,15.703563640772,21.64447316275206,33.81378363196681
AR,macrochirus,species,22.531927010148507,7.313017859239476,8.306128735233436,17.52298511649987,22.59058133173332,27.496683514383463,36.91649936296485
AR,megalotis,species,13.001470416236227,5.7766805049351095,3.1031697482690768,8.7682350184832,12.665841717162508,16.975065478250905,25.028331626008303
AR,punctatus,species,24.715212099628964,15.351039690576595,3.8079669440558552,13.71825991448386,21.980684963019453,32.44877940268248,62.866323097080425
